Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
368732,5-Jul-15,Indiana,Fort Wayne,1400 block of McCulloch Street,0,9,N/A
368867,4-Jul-15,District of Columbia,Washington,2600 Douglas Place SE,1,3,N/A
368987,4-Jul-15,Massachusetts,Pittsfield,Dewey Avenue,1,4,N/A
368995,4-Jul-15,New York,Syracuse,Bellevue and Rich Street,0,4,N/A
369014,5-Jul-15,Louisiana,Shreveport,3500 block of Hearne Avenue,0,8,N/A
369127,4-Jul-15,Texas,San Antonio,1100 block of West Avenue,0,4,N/A
369196,5-Jul-15,New Jersey,East Orange,200 block of S. Clinton St,1,3,N/A
369410,4-Jul-15,Kentucky,Louisville,2500 block of West Broadway,0,4,N/A
370187,7-Jul-15,Ohio,Cleveland,East 162nd Street and Miles Avenue,1,3,N/A
370474,7-Jul-15,Maryland,Baltimore,900 block of West Fayette Street,3,1,N/A
373063,12-Jul-15,New Jersey,Jersey City,Sip and Van Wagenen avenues,0,4,N/A
373095,12-Jul-15,Illinois,River Forest,116 Lathrop Avenue,2,3,N/A
373768,13-Jul-15,California,Stockton,400 block of McCloud Avenue,1,4,N/A
373993,13-Jul-15,California,Norwalk,11959 162nd Street,0,4,N/A
374292,14-Jul-15,Missouri,Saint Louis,1100 block of Riverview,0,4,N/A
374602,15-Jul-15,Georgia,Atlanta,500 block of Center Hill Avenue,0,5,N/A
374630,15-Jul-15,South Carolina,Holly Hill,7050 Old State Road,4,1,N/A
374965,15-Jul-15,Michigan,Detroit,9200 block of Memorial,0,4,N/A
375022,16-Jul-15,Tennessee,Chattanooga,4051 Amnicola Highway,6,2,N/A
375322,15-Jul-15,Maryland,Baltimore,3500 block of West Garrison Boulevard,1,3,N/A
375412,15-Jul-15,Ohio,Cleveland,700 block of Thornhill,0,7,N/A
375773,16-Jul-15,Texas,Dallas,Singleton and Hampton,0,5,N/A
376203,17-Jul-15,Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,0,4,N/A
376211,17-Jul-15,Illinois,Chicago,4400 block of W. Maypole,0,5,N/A
376702,18-Jul-15,Oregon,Salem,1550 Weston Ct NE,1,4,N/A
377047,19-Jul-15,Kentucky,Louisville,2928 W Kentucky St,0,6,N/A
377181,19-Jul-15,North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,0,4,N/A
377189,19-Jul-15,Virginia,Suffolk,100 block of North Capitol Street,0,4,N/A
377423,18-Jul-15,Louisiana,Baton Rouge,300 block of Brice Street,2,2,N/A
377878,20-Jul-15,New York,Bronx,E. 153rd St. and the Grand Concourse,0,6,N/A
378102,18-Jul-15,California,San Diego,200 block of South Bancroft Street,0,4,N/A
378452,21-Jul-15,Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,1,3,N/A
379166,22-Jul-15,Georgia,Suwanee,5500 block of Old Atlanta Road,5,0,N/A
380162,23-Jul-15,Louisiana,Lafayette,3141 Johnson Street,3,9,N/A
381433,25-Jul-15,Virginia,Hopewell,500 block of N. 7th Ave,0,4,N/A
381814,26-Jul-15,Missouri,Kansas City,Thompson and Colorado,2,3,N/A
382170,26-Jul-15,Louisiana,New Orleans,Piety and Treasure street,0,4,N/A
382230,22-Jul-15,Missouri,Saint Louis,Fair Ave and Ashland Ave,0,6,N/A
382413,24-Jul-15,Pennsylvania,Erie,200 block of W 29th St,2,5,N/A
382459,27-Jul-15,Illinois,Rockford,900 block of Kent Street,0,5,N/A
384662,30-Jul-15,Pennsylvania,Pittsburgh,Brushton Avenue,0,4,N/A
385779,2-Aug-15,New York,Brooklyn,Stanley Avenue and Crescent Street,0,9,N/A
385824,2-Aug-15,Illinois,Chicago,4800 block of West Kamerling Avenue,1,4,N/A
386066,2-Aug-15,Georgia,Savannah,Barnard Street,0,5,N/A
386140,2-Aug-15,Maryland,Baltimore,2700 block of Garrison Avenue,0,7,N/A
386937,1-Aug-15,Florida,Orlando,5801 Shenandoah Way,0,4,N/A
387194,3-Aug-15,New York,Brooklyn,98 Dwight Street,0,5,N/A
389057,6-Aug-15,South Carolina,Columbia,1505 Garden Plaza,0,4,N/A
389149,4-Aug-15,Missouri,Saint Louis,2500 block of Semple,1,4,N/A
390050,7-Aug-15,Vermont,Barre (Berlin),3182 Airport Rd,4,0,N/A
390526,8-Aug-15,Texas,Houston,2211 Falling Oaks,8,0,N/A
390774,8-Aug-15,Arkansas,Blytheville,833 Anderson Street,1,11,N/A
390914,8-Aug-15,North Carolina,Gastonia,4908 Greenwood Drive,2,3,N/A
390936,18-Jul-15,California,Santa Paula,Ojai-Santa Paula Street,0,5,N/A
391014,9-Aug-15,Missouri,Kansas City,40th Street and Pennsylvania Avenue,0,4,N/A
