Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured,TotalVictim,Month/Year,Year
412040,10-09-2015,Minnesota,Excelsior (Greenwood),Channel Drive,5,0,5,201509,2015
409732,7-09-2015,Indiana,Gary,9300 block of Sunrise,2,4,6,201509,2015
417013,20-09-2015,Oklahoma,Tulsa,Pine and Yale,0,6,6,201509,2015
437836,27-10-2015,Texas,Fort Worth,1700 block of Southcrest Drive,0,5,5,201510,2015
437323,26-10-2015,Indiana,Evansville,711 E Virginia St,0,5,5,201510,2015
436240,25-10-2015,District of Columbia,Washington,4300 block of Wheeler Road SE,0,5,5,201510,2015
436234,25-10-2015,Arizona,Phoenix,Seventh Street and Broadway,1,4,5,201510,2015
433146,2019-10-2015,Illinois,Calumet City,300 Campbell Avenue,0,6,6,201510,2015
436202,25-10-2015,North Carolina,Four Oaks,2339 Stricklands Crossroads Road,0,5,5,201510,2015
428215,10-10-2015,Tennessee,Memphis,6135 Mount Moriah Road,0,6,6,201510,2015
426256,6-10-2015,Maryland,Baltimore,300 block of North Payson Street,0,5,5,201510,2015
424224,2-10-2015,Maryland,Baltimore,5400 Reisterstown Road,1,4,5,201510,2015
423223,1-10-2015,Oregon,Roseburg,1140 Umpqua College Rd,10,9,19,201510,2015
432466,2017-10-2015,Florida,Fort Myers,2224 First St,1,4,5,201510,2015
452120,23-11-2015,Minnesota,Minneapolis,Morgan Avenue North,0,5,5,201511,2015
441681,3-11-2015,Florida,Jacksonville,Ella Street and Kings Road,2,3,5,201511,2015
446996,13-11-2015,Florida,Jacksonville,1300 block of South Shirley Oaks Drive,4,1,5,201511,2015
448419,2015-11-2015,Texas,Tennessee Colony,800 block of An County Rd 2217,5,0,5,201511,2015
452007,23-11-2015,Ohio,Columbus,90 block of S. Terrace Avenue,4,1,5,201511,2015
451495,22-11-2015,Louisiana,New Orleans,1900 block of Gallier St,0,17,17,201511,2015
454059,27-11-2015,Colorado,Colorado Springs,3480 Centennial Blvd,3,9,12,201511,2015
455394,29-11-2015,Illinois,Kankakee,648 E Court St,0,5,5,201511,2015
451305,22-11-2015,New York,Newburgh,203 Broadway,0,5,5,201511,2015
449814,2018-11-2015,California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5,5,201511,2015
476321,31-12-2015,Louisiana,New Orleans,1900 block of Amelia Street,0,6,6,201512,2015
