Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured
60187,14-Jun-17,Ohio,Canton,14th St NE and Gibbs Ave NE,0,4
60188,14-Jun-17,California,San Francisco,720 San Bruno,4,2
60189,13-Jun-17,Maryland,Baltimore,3300 block of Ayrdale Avenue,0,4
60190,13-Jun-17,Maryland,Baltimore,1200 block of Bonaparte Avenue,2,2
60191,13-Jun-17,Missouri,Saint Louis (University City),Ferguson Ave and Plymouth Ave,0,4
60192,11-Jun-17,Illinois,Chicago,3300 block of W Douglas Blvd,0,9
60193,11-Jun-17,Tennessee,Chattanooga,4272 Bonny Oaks Drive,0,4
60194,11-Jun-17,Texas,Houston,505 Cypress Station Dr,0,4
60195,10-Jun-17,Tennessee,Memphis,571 East Street,0,4
60196,9-Jun-17,Texas,Fort Worth,East Davis Avenue and New York Avenue,2,5
60197,8-Jun-17,Louisiana,New Orleans,3650 Franklin Ave,0,6
60198,6-Jun-17,Utah,Sandy,2232 Alta Canyon Drive,3,2
60199,5-Jun-17,Florida,Orlando,2427 Forsyth Rd,6,0
60200,3-Jun-17,Missouri,Saint Louis,1600 Block of Union Blvd,2,2
60201,3-Jun-17,Louisiana,New Orleans,3717 Tulane Ave,3,2
60202,2-Jun-17,California,Los Angeles,89th St and Broadway,1,3
60203,2-Jun-17,Texas,Laredo,5301 McPherson Rd,2,3
60204,1-Jun-17,Missouri,Saint Louis,Beacon Ave and Lillian Ave,3,1
60205,30-May-17,Ohio,Middletown,1200 Elliott Dr,1,3
60206,29-May-17,Kentucky,Louisville,231 Witherspoon St,1,3
60207,28-May-17,Alabama,Phenix City,100 block of 6th Street South,0,12
60208,28-May-17,New Jersey,Paterson,86 Main Street,1,5
60209,28-May-17,Mississippi,Moss Point,6103 Hwy. 63,0,5
60210,27-May-17,New York,New York (Manhattan),318 W 14th St,0,4
60211,27-May-17,District of Columbia,Washington,100 block of Q St NW,1,7
60212,27-May-17,Mississippi,Bogue Chitto,2871 Lee Dr,8,1
60213,26-May-17,Florida,Miami,2730 NW 167th St,0,4
60214,21-May-17,Iowa,Des Moines,4300 Beaver Dr,1,3
60215,21-May-17,Arizona,Mesa,441 N Val Vista Dr,0,4
60216,20-May-17,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,0,10
60217,16-May-17,South Carolina,Ruffin,21785 Lowcountry Hwy,3,1
60218,14-May-17,Arkansas,Jonesboro,311 S Main St,1,6
60219,14-May-17,Illinois,Dolton,14112 Chicago Road,0,5
60220,14-May-17,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,0,5
60221,14-May-17,Texas,Fort Worth,8600 block of Calmont Ave,0,4
60222,10-May-17,New Jersey,Trenton,300 block of Centre St,1,3
60223,9-May-17,Kansas,Kansas City,1900 block of S. Boeke,3,1
